autorita_presidente,nome,cognome,s,link
Autorità garante della concorrenza e del mercato,Roberto,Rustichelli,M,http://www.agcm.it/
CONSOB,Paolo,Savona,M,http://www.consob.it/
Autorità nazionale anticorruzione,Giuseppe,Busia,M,http://www.anticorruzione.it/portal/public/classic/
Istituto per la vigilanza sulle assicurazioni (IVASS),Luigi Federico,Signorini,M,http://www.isvap.it/
Commissione di Garanzia per l'attuazione della legge sullo sciopero nei servizi pubblici essenziali,Paola,Bellocchi,F,http://www.commissionegaranziasciopero.it/
Garante per la protezione dei dati personali,Pasquale,Stanzione,M,http://www.garanteprivacy.it/
Autorità garante per l'infanzia e l'adolescenza,Marinella Giannini,Terragni,F,https://www.garanteinfanzia.org/
Garante nazionale dei diritti delle persone detenute o private della libertà personale,Riccardo,Turrini Vita,M,https://www.garantenazionaleprivatiliberta.it/gnpl/it/homepage.page
Autorità di Regolazione per Energia Reti e Ambiente (ARERA),Stefano,Besseghini,M,https://www.arera.it/it/index.htm
Autorità di regolazione dei trasporti,Nicola,Zaccheo,M,https://www.autorita-trasporti.it/
Ufficio parlamentare di bilancio,Lilia,Cavallari,F,https://www.upbilancio.it/
