paese,AMBASCIATORE,start-url,AMBASCIATA,sesso,nome,codice
AFGHANISTAN,UGOLINI SABRINA,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,KABUL,F,Sabrina,AFG
ALBANIA,,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,TIRANA,,,ALB
ALGERIA,CUTILLO ALBERTO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,ALGERI,M,Alberto,DZA
ANDORRA,BUCCINO GRIMALDI GIUSEPPE MARIA,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,,M,Giuseppe Maria,AND
ANGOLA,RICCI MARCO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,LUANDA,M,Marco,AGO
ANTIGUA E BARBUDA,NICOLETTI FABRIZIO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,,M,Fabrizio,ATG
ARABIA SAUDITA,BALDOCCI CARLO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,RIAD,M,Carlo,SAU
ARGENTINA,LUCENTINI FABRIZIO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,BUENOS AIRES,M,Fabrizio,ARG
ARMENIA,FERRANTI ALESSANDRO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,JEREVAN,M,Alessandro,ARM
AUSTRALIA,CRUDELE PAOLO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=1,CANBERRA,M,Paolo,AUS
AUSTRIA,PUGLIESE GIOVANNI,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=2,VIENNA,M,Giovanni,AUT
AZERBAIGIAN,DI GIANFRANCESCO LUCA,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=2,BAKU,M,Luca,AZE
BAHAMAS,ZAPPIA MARIA ANGELA,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=2,,F,Maria Angela,BHS
BAHREIN,CATALANO ANDREA,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=2,MANAMA,M,Andrea,BHR
BANGLADESH,ALESSANDRO ANTONIO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=2,DHAKA,M,Antonio,BGD
BARBADOS,NICOLETTI FABRIZIO,https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=2,,M,Fabrizio,BRB
