web-scraper-order,web-scraper-start-url,paese,AMBASCIATA,AMBASCIATORE
"1738615455-1","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=21","VANUATU","","AMBASCIATORE: CRUDELE PAOLO"
"1738615455-2","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=21","VENEZUELA","AMBASCIATA - CARACAS","AMBASCIATORE: DE VITO GIOVANNI UMBERTO"
"1738615455-3","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=21","VIETNAM","AMBASCIATA - HANOI","AMBASCIATORE: della SETA MARCO"
"1738615455-4","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=21","YEMEN","AMBASCIATA - SANA'A",""
"1738615455-5","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=21","ZAMBIA","AMBASCIATA - LUSAKA","AMBASCIATORE: DE AGOSTINI ENRICO"
"1738615455-6","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=21","ZIMBABWE","AMBASCIATA - HARARE","AMBASCIATORE: MALNATI UMBERTO"
"1738615457-7","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","TRINIDAD E TOBAGO","","AMBASCIATORE: NICOLETTI FABRIZIO"
"1738615457-8","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","TUNISIA","AMBASCIATA - TUNISI","AMBASCIATORE: PRUNAS ALESSANDRO"
"1738615457-9","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","TURCHIA","AMBASCIATA - ANKARA","AMBASCIATORE: MARRAPODI GIORGIO"
"1738615457-10","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","TURKMENISTAN","AMBASCIATA - ASHGABAT","AMBASCIATORE: FERRARI LUIGI"
"1738615457-11","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","TUVALU","","AMBASCIATORE: CALOGERO FRANCESCO"
"1738615457-12","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","UCRAINA","AMBASCIATA - KIEV","AMBASCIATORE: FORMOSA CARLO"
"1738615457-13","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","UGANDA","AMBASCIATA - KAMPALA","AMBASCIATORE: MASSONI MAURO"
"1738615457-14","https://www.esteri.it/it/ministero/struttura/laretediplomatica/?pag=20","UNGHERIA","AMBASCIATA - BUDAPEST","AMBASCIATORE: JACOANGELI MANUEL"
