"Amministratori Comunali - elenco completo provincia di pisa"
"Aggiornato al 17/01/2025"
"codice_regione";"codice_provincia";"codice_comune";"denominazione_comune";"sigla_provincia";"popolazione_censita_alla_data_elezione";"cognome";"nome";"sesso";"data_nascita";"luogo_nascita";"livello_carica";"descrizione_carica";"incarico";"funzione";"data_elezione";"data_entrata_in_carica";"lista_appartenenza/collegamento";"titolo_studio";"professione"
"09";"062";"0020";"BIENTINA";"PI";"7766";"CARMASSI";"DARIO";"M";"22/09/1978";"PISA (PI)";"10";"Sindaco";;;"12/06/2022";"13/06/2022";"UNITI PER BIENTINA";"Laurea Magistrale";"SPECIALISTI E TECNICI IN SCIENZE E ATTIVITA' GESTIONALI, COMMERCIALI E BANCARIE"
"09";"062";"0020";"BIENTINA";"PI";"7766";"CAI";"ALESSANDRO";"M";"04/01/1976";"PONTEDERA (PI)";"50";"Assessore";"Vicesindaco";;"12/06/2022";"29/06/2022";;"Istruzione Secondaria di Secondo Grado";"Tecnici e addetti ad attività finanziarie ed assicurative (agenti assicurativi, periti, valutatori di rischio, liquidatori, agenti di borsa e cambio, tecnici dell'intermediazione titoli, addetti a sportelli bancari e assicurativi, addetti ad agenzie di pegno, esattori di fatture e di crediti, ecc.)"
"09";"062";"0020";"BIENTINA";"PI";"7766";"NICCOLI";"DESIRE'";"F";"14/04/1975";"PONTEDERA (PI)";"50";"Assessore";;;"12/06/2022";"29/06/2022";;"Istruzione Secondaria di Secondo Grado";"Geometri, periti edili e altre professionalità assimilabili a quelle della categoria"
"09";"062";"0020";"BIENTINA";"PI";"7766";"BARONI";"SAMUELE";"M";"08/08/1978";"PONTEDERA (PI)";"60";"Assessore non di origine elettiva";;;"12/06/2022";"29/06/2022";;"Istruzione Secondaria di Secondo Grado";"CUOCHI DI ALBERGHI,DI PUBBLICI ESERCIZI E ASSIMILATI"
"09";"062";"0020";"BIENTINA";"PI";"7766";"VINCENTI";"ALESSIA";"F";"10/01/1968";"BIENTINA (PI)";"60";"Assessore non di origine elettiva";;;"12/06/2022";"29/06/2022";;"Laurea Magistrale";"Professori di scuola secondaria superiore e inferiore"
"09";"062";"0020";"BIENTINA";"PI";"7766";"BOSCHI";"LAURA";"F";"22/03/1999";"PONTEDERA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"UNITI PER BIENTINA";"Laurea Triennale";"Studenti"
"09";"062";"0020";"BIENTINA";"PI";"7766";"BROGI";"EMANUELE";"M";"07/02/1984";"PISA (PI)";"120";"Consigliere";;;"12/06/2022";"29/07/2022";"UNITI PER BIENTINA";"Laurea Triennale";"SPECIALISTI DELLA FORMAZIONE E DELLA RICERCA E ADDETTI A SERVIZI SCOLASTICI"
"09";"062";"0020";"BIENTINA";"PI";"7766";"CASTELLI";"ALESSANDRA";"F";"02/09/1974";"CASCINA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"UNITI PER BIENTINA";"Istruzione Secondaria di Secondo Grado";"Disoccupati e inoccupati"
"09";"062";"0020";"BIENTINA";"PI";"7766";"DELL'ANTICO";"AGNESE";"F";"28/11/1979";"PONTEDERA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"UNITI PER BIENTINA";"Laurea Magistrale";"Impiegati di aziende, imprese, enti economici e soggetti di diritto privato con qualifiche non direttive"
"09";"062";"0020";"BIENTINA";"PI";"7766";"DUCCI";"ALESSANDRO";"M";"24/02/1984";"PONTEDERA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"BIENTINA NEL CUORE";"Istruzione Secondaria di Secondo Grado";"Addetti ad attività ausiliarie di ufficio (uscieri, commessi, lettori di contatori, ecc.) o di magazzino, spostamento merci e comunicazioni (facchini, addetti allo spostamento, imballaggio e consegna merci e al magazzino, portalettere e fattorini, centralinisti, ecc.)"
"09";"062";"0020";"BIENTINA";"PI";"7766";"GABBRIELLINI";"GIOVANNI";"M";"24/06/1964";"FIRENZE (FI)";"120";"Consigliere";;;"12/06/2022";"29/09/2022";"UNITI PER BIENTINA";"Istruzione Secondaria di Secondo Grado";"SPECIALISTI E TECNICI IN SCIENZE E ATTIVITA' GESTIONALI, COMMERCIALI E BANCARIE"
"09";"062";"0020";"BIENTINA";"PI";"7766";"GUIDI";"CORRADO";"M";"07/03/1967";"PONTEDERA (PI)";"120";"Consigliere candidato sindaco";;;"12/06/2022";"13/06/2022";"BIENTINA NEL CUORE";"Istruzione Secondaria di Secondo Grado";"IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO"
"09";"062";"0020";"BIENTINA";"PI";"7766";"MARIOTTI";"MATTEO";"M";"26/10/1989";"PONTEDERA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"BIENTINA NEL CUORE";"Laurea Triennale";"Specialisti in discipline artistico-espressive (pittori, scultori, restauratori d'arte, registi, direttori artistici, attori, sceneggiatori, scenografi, coreografi, ballerini, compositori, musicisti, cantanti, ecc.)"
"09";"062";"0020";"BIENTINA";"PI";"7766";"NICCOLI";"DESIRE'";"F";"14/04/1975";"PONTEDERA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"UNITI PER BIENTINA";"Istruzione Secondaria di Secondo Grado";"Geometri, periti edili e altre professionalità assimilabili a quelle della categoria"
"09";"062";"0020";"BIENTINA";"PI";"7766";"RUBERTI";"CHIARA";"F";"31/07/1975";"CASCINA (PI)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"BIENTINA NEL CUORE";"Laurea Magistrale";"Procuratori legali e avvocati ed esperti legali in imprese o enti pubblici"
"09";"062";"0020";"BIENTINA";"PI";"7766";"STAMERRA";"SANDRO MARINO";"M";"08/12/1970";"SVIZZERA";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"UNITI PER BIENTINA";"Laurea Magistrale";"Impiegati di aziende, imprese, enti economici e soggetti di diritto privato con qualifiche direttive"
"09";"062";"0020";"BIENTINA";"PI";"7766";"TANGREDI";"ELENA";"F";"02/01/1990";"PONTEDERA (PI)";"120";"Consigliere";"Presidente del consiglio";;"12/06/2022";"02/07/2022";"UNITI PER BIENTINA";"Laurea Magistrale";"IMPIEGATI DI AMMINISTRAZIONI, ORGANI ED ENTI PUBBLICI (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"09";"062";"0030";"BUTI";"PI";"5773";"BUTI";"ARIANNA";"F";"27/05/1973";"PISA (PI)";"10";"Sindaco";;;"03/10/2021";"05/10/2021";"INSIEME PER BUTI";"Laurea Magistrale";"PROFESSIONI NON ALTROVE CLASSIFICABILI"
"09";"062";"0030";"BUTI";"PI";"5773";"DI BELLA";"FRANCESCA";"F";"07/03/1983";"PONTEDERA (PI)";"50";"Assessore";"Vicesindaco";;"03/10/2021";"12/10/2021";;"Istruzione Secondaria di Secondo Grado";"SPECIALISTI DELLA FORMAZIONE E DELLA RICERCA E ADDETTI A SERVIZI SCOLASTICI"
"09";"062";"0030";"BUTI";"PI";"5773";"PARENTI";"MATTEO";"M";"27/04/1983";"PONTEDERA (PI)";"50";"Assessore";;;"03/10/2021";"12/10/2021";;"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"09";"062";"0030";"BUTI";"PI";"5773";"PICARDI";"FEDERICO";"M";"27/04/1970";"BARGA (LU)";"50";"Assessore";;;"03/10/2021";"12/10/2021";;"Laurea Magistrale";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"09";"062";"0030";"BUTI";"PI";"5773";"MATTEOLI";"MAURIZIO";"M";"30/03/1951";"BUTI (PI)";"60";"Assessore non di origine elettiva";;;"03/10/2021";"12/10/2021";;"Istruzione Secondaria di Primo Grado";"ESERCENTI O ADDETTI AD ATTIVITA' COMMERCIALI O A SERVIZI ALLE PERSONE"
"09";"062";"0030";"BUTI";"PI";"5773";"BAGNOLI";"ELENA";"F";"02/09/1990";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Laurea Triennale";"SPECIALISTI E TECNICI NELLE SCIENZE DELLA SALUTE E ADDETTI A SERVIZI SANITARI"
"09";"062";"0030";"BUTI";"PI";"5773";"BUTI";"MONIA";"F";"02/04/1969";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"BUTI AL CENTRO";"Laurea Magistrale";"SPECIALISTI IN SCIENZE GIURIDICHE"
"09";"062";"0030";"BUTI";"PI";"5773";"CIARDI";"FRANCESCA";"F";"28/02/1997";"PISA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Istruzione Secondaria di Secondo Grado";"CONDIZIONI NON PROFESSIONALI"
"09";"062";"0030";"BUTI";"PI";"5773";"CORSI";"LUCA";"M";"27/03/1978";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Istruzione Secondaria di Secondo Grado";
"09";"062";"0030";"BUTI";"PI";"5773";"DI BELLA";"FRANCESCA";"F";"07/03/1983";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Istruzione Secondaria di Secondo Grado";"SPECIALISTI DELLA FORMAZIONE E DELLA RICERCA E ADDETTI A SERVIZI SCOLASTICI"
"09";"062";"0030";"BUTI";"PI";"5773";"GOZZOLI";"FEDERICO";"M";"26/10/1988";"BARGA (LU)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"BUTI AL CENTRO";"Istruzione Secondaria di Secondo Grado";"IMPIEGATI DI AZIENDE, IMPRESE, ENTI ECONOMICI E SOGGETTI DI DIRITTO PRIVATO (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"09";"062";"0030";"BUTI";"PI";"5773";"LAZZERINI";"FRANCESCO";"M";"29/10/1991";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"BUTI AL CENTRO";"Istruzione Secondaria di Secondo Grado";"APPARTENENTI A FORZE ARMATE E A FORZE DI POLIZIA, TECNICI E ADDETTI A SERVIZI DI SICUREZZA PUBBLICA E VIGILANZA PUBBLICA E PRIVATA"
"09";"062";"0030";"BUTI";"PI";"5773";"MATTEOLI";"RACHELE";"F";"19/04/1994";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"BUTI AL CENTRO";"Laurea Magistrale";"SPECIALISTI IN SCIENZE GIURIDICHE"
"09";"062";"0030";"BUTI";"PI";"5773";"PARENTI";"MATTEO";"M";"27/04/1983";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"09";"062";"0030";"BUTI";"PI";"5773";"PRATALI";"CHIARA";"F";"09/09/1979";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Laurea Magistrale";"IMPIEGATI DI AZIENDE, IMPRESE, ENTI ECONOMICI E SOGGETTI DI DIRITTO PRIVATO (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"09";"062";"0030";"BUTI";"PI";"5773";"SERAFINI";"SARA";"F";"02/09/1978";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Laurea Magistrale";"SPECIALISTI DELLA FORMAZIONE E DELLA RICERCA E ADDETTI A SERVIZI SCOLASTICI"
"09";"062";"0030";"BUTI";"PI";"5773";"TAMBERI";"CARLO ALBERTO";"M";"31/03/1988";"PONTEDERA (PI)";"120";"Consigliere";;;"03/10/2021";"22/10/2021";"INSIEME PER BUTI";"Laurea Magistrale";"SPECIALISTI DELLA FORMAZIONE E DELLA RICERCA E ADDETTI A SERVIZI SCOLASTICI"
"09";"062";"0040";"CALCI";"PI";"6293";"GHIMENTI";"MASSIMILIANO";"M";"06/10/1982";"PISA (PI)";"10";"Sindaco";;;"09/06/2024";"09/06/2024";"PROGETTOCALCI 2029 CENTROSINISTRA";"Istruzione Secondaria di Secondo Grado";"APPARTENENTI A FORZE ARMATE E A FORZE DI POLIZIA, TECNICI E ADDETTI A SERVIZI DI SICUREZZA PUBBLICA E VIGILANZA PUBBLICA E PRIVATA"
