"Amministratori Comunali - elenco completo provincia di salerno"
"Aggiornato al 17/01/2025"
"codice_regione";"codice_provincia";"codice_comune";"denominazione_comune";"sigla_provincia";"popolazione_censita_alla_data_elezione";"cognome";"nome";"sesso";"data_nascita";"luogo_nascita";"livello_carica";"descrizione_carica";"incarico";"funzione";"data_elezione";"data_entrata_in_carica";"lista_appartenenza/collegamento";"titolo_studio";"professione"
"15";"072";"0010";"ACERNO";"SA";"2872";"CUOZZO";"MASSIMILIANO";"M";"24/11/1974";"MONTECORVINO ROVELLA (SA)";"10";"Sindaco";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Secondo Grado";"CONDUTTORI DI IMPIANTI E DI VEICOLI, TECNICI, OPERAI SEMIQUALIFICATI E ALTRI ADDETTI A MACCHINARI FISSI E MOBILI E AD ATTIVITA' INDUSTRIALI"
"15";"072";"0010";"ACERNO";"SA";"2872";"MALZONE";"SABATO";"M";"19/02/1964";"ACERNO (SA)";"50";"Assessore";"Vicesindaco";;"12/06/2022";"18/06/2022";;"Istruzione Secondaria di Primo Grado";"IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO"
"15";"072";"0010";"ACERNO";"SA";"2872";"CALABRESE";"ANNA";"F";"08/02/1963";"ACERNO (SA)";"60";"Assessore non di origine elettiva";;;"12/06/2022";"18/06/2022";;;"IMPIEGATI DI AZIENDE, IMPRESE, ENTI ECONOMICI E SOGGETTI DI DIRITTO PRIVATO (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"15";"072";"0010";"ACERNO";"SA";"2872";"CERASUOLO";"PIERPAOLO";"M";"02/12/1990";"BATTIPAGLIA (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Secondo Grado";"CONDIZIONI NON PROFESSIONALI"
"15";"072";"0010";"ACERNO";"SA";"2872";"CERRONE";"MARIA GRAZIA";"F";"13/11/1973";"SALERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Laurea Magistrale";"SPECIALISTI IN SCIENZE GIURIDICHE"
"15";"072";"0010";"ACERNO";"SA";"2872";"CERRONE";"SARA";"F";"20/07/1995";"SALERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Secondo Grado";"CONDIZIONI NON PROFESSIONALI"
"15";"072";"0010";"ACERNO";"SA";"2872";"D'ANIELLO";"ALFONSO";"M";"16/01/1973";"SALERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"ACERNO FUTURA UNITI E LIBERI";"Nessun Titolo di Studio";"IMPIEGATI DI AMMINISTRAZIONI, ORGANI ED ENTI PUBBLICI (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"15";"072";"0010";"ACERNO";"SA";"2872";"DE ROSA";"CARMINE";"M";"19/01/1982";"BATTIPAGLIA (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"ACERNO FUTURA UNITI E LIBERI";"Nessun Titolo di Studio";"SPECIALISTI IN SCIENZE GIURIDICHE"
"15";"072";"0010";"ACERNO";"SA";"2872";"MALZONE";"SABATO";"M";"19/02/1964";"ACERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Primo Grado";"IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO"
"15";"072";"0010";"ACERNO";"SA";"2872";"OLIVIERI";"ANGELO";"M";"13/10/1955";"ACERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Primo Grado";"PERSONE RITIRATE DAL LAVORO"
"15";"072";"0010";"ACERNO";"SA";"2872";"PACIFICO";"ALFREDO";"M";"08/02/1974";"SALERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"15";"072";"0010";"ACERNO";"SA";"2872";"PACIFICO";"VINCENZO";"M";"01/12/1992";"SALERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"INSIEME PER ACERNO";"Istruzione Secondaria di Secondo Grado";"CONDIZIONI NON PROFESSIONALI"
"15";"072";"0010";"ACERNO";"SA";"2872";"SANSONE";"VITO";"M";"10/08/1950";"ACERNO (SA)";"120";"Consigliere";;;"12/06/2022";"13/06/2022";"ACERNO FUTURA UNITI E LIBERI";;"SPECIALISTI E TECNICI NELLE SCIENZE DELLA SALUTE E ADDETTI A SERVIZI SANITARI"
"15";"072";"0020";"AGROPOLI";"SA";"20610";"MUTALIPASSI";"ROBERTO ANTONIO";"M";"07/03/1966";"AGROPOLI (SA)";"10";"Sindaco";;;"12/06/2022";"16/06/2022";"AGROPOLI PER MUTALIPASSI SINDACO | CI SIAMO PER AGROPOLI | INSIEME PER AGROPOLI | LISTA CIVICA MUTALIPASSI SINDACO | PARTITO DEMOCRATICO | PARTITO SOCIALISTA ITALIANO | UNITI CON MUTALIPASSI SINDACO";;
"15";"072";"0020";"AGROPOLI";"SA";"20610";"APICELLA";"ROBERTO";"M";"22/12/1983";"AGROPOLI (SA)";"50";"Assessore";;;"12/06/2022";"18/06/2022";;"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"CIANCIOLA";"EMIDIO";"M";"29/01/1973";"MADDALONI (CE)";"50";"Assessore";;;"12/06/2022";"18/06/2022";;"Laurea Magistrale";"MEDICI CHIRURGHI GENERICI"
"15";"072";"0020";"AGROPOLI";"SA";"20610";"D'ARIENZO";"MARIA GIOVANNA";"F";"09/05/1961";"BENEVENTO (BN)";"50";"Assessore";"Vicesindaco";;"12/06/2022";"18/06/2022";;"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"DI FILIPPO";"GIUSEPPE";"M";"19/11/1985";"AGROPOLI (SA)";"50";"Assessore";;;"12/06/2022";"18/06/2022";;"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"LAMPASONA";"ROSA";"F";"08/07/1973";"NAPOLI (NA)";"50";"Assessore";;;"12/06/2022";"18/06/2022";;"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"ABBAGNALA";"MAURIZIO";"M";"11/09/1972";"AGROPOLI (SA)";"120";"Consigliere";;;"12/06/2022";"24/06/2022";"LISTA CIVICA MUTALIPASSI SINDACO";"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"BRUNO";"ROSARIO";"M";"12/10/1984";"BATTIPAGLIA (SA)";"120";"Consigliere";;;"12/06/2022";"24/06/2022";"PARTITO DEMOCRATICO";"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"BUFANO";"BRUNO";"M";"04/09/1970";"EBOLI (SA)";"120";"Consigliere";;;"12/06/2022";"24/06/2022";"AGROPOLI OLTRE";;
"15";"072";"0020";"AGROPOLI";"SA";"20610";"CAMMAROTA";"GIUSEPPE";"M";"21/12/1975";"AGROPOLI (SA)";"120";"Consigliere";;;"12/06/2022";"24/06/2022";"PARTITO DEMOCRATICO";"Laurea Magistrale";
"15";"072";"0020";"AGROPOLI";"SA";"20610";"COMITE";"NICOLA";"M";"16/02/1964";"AGROPOLI (SA)";"120";"Consigliere";;;"12/06/2022";"24/06/2022";"LISTA CIVICA MUTALIPASSI SINDACO";"Istruzione Secondaria di Secondo Grado";"GEOMETRI E PERITI EDILI"
"15";"072";"0020";"AGROPOLI";"SA";"20610";"CRISPINO";"FRANCESCO";"M";"03/01/1960";"CAMEROTA (SA)";"120";"Consigliere";;;"12/06/2022";"24/06/2022";"PARTITO DEMOCRATICO";"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI TITOLARI E AMMIN. DELEGATI DI IMPRESE COMMERCIALI"
